BIN,IssuingCountry,ChargebackFlag
116924,GERMANY,0.0
116930,GERMANY,0.0
116939,GERMANY,0.0
116952,GERMANY,0.0
116959,GERMANY,0.0
116963,GERMANY,0.0
116968,GERMANY,0.0
116971,GERMANY,0.0
117509,UNITED STATES,0.0
117542,UNITED STATES,0.0
117564,UNITED STATES,0.0
117570,UNITED STATES,0.0
117573,UNITED STATES,0.0
117575,UNITED STATES,0.0
117578,UNITED STATES,0.0
117580,UNITED STATES,0.0
117587,UNITED STATES,1.0
117598,UNITED STATES,0.0
118511,GERMANY,0.0
118512,GERMANY,0.0
118514,GERMANY,0.0
118530,GERMANY,0.0
118540,GERMANY,0.0
118541,GERMANY,0.0
118546,GERMANY,1.0
118549,GERMANY,0.0
118559,GERMANY,0.0
118571,GERMANY,0.0
118586,GERMANY,0.0
118589,GERMANY,0.0
118590,GERMANY,0.0
118595,GERMANY,0.0
122005,GERMANY,0.0
122007,GERMANY,0.0
122011,GERMANY,0.0
122026,GERMANY,0.0
122029,GERMANY,0.0
122051,GERMANY,0.0
122073,GERMANY,0.0
122078,GERMANY,0.0
122079,GERMANY,0.0
122081,GERMANY,0.0
122086,GERMANY,0.0
122087,GERMANY,0.0
122095,GERMANY,0.0
122096,GERMANY,0.0
122097,GERMANY,0.0
123231,MALAYSIA,0.0
123232,MALAYSIA,0.0
123249,MALAYSIA,0.0
123262,MALAYSIA,0.0
123283,MALAYSIA,0.0
123289,MALAYSIA,0.0
123401,CHINA,0.0
123404,CHINA,0.0
123410,CHINA,0.0
123411,CHINA,0.0
123422,CHINA,0.0
123423,CHINA,0.0
123425,CHINA,0.0
123436,CHINA,0.0
123438,CHINA,0.0
123441,CHINA,0.0
123446,CHINA,0.0
123450,CHINA,0.0
123474,CHINA,0.0
127201,SINGAPORE,0.0
127209,SINGAPORE,0.0
127227,SINGAPORE,0.0
127236,SINGAPORE,0.0
127240,SINGAPORE,0.0
127258,SINGAPORE,0.0
127261,SINGAPORE,0.0
127268,SINGAPORE,0.0
127270,SINGAPORE,0.0
127271,SINGAPORE,0.0
127272,SINGAPORE,0.0
127274,SINGAPORE,0.0
127287,SINGAPORE,0.0
127290,SINGAPORE,0.0
127500,FRANCE,0.0
127501,FRANCE,0.0
127511,FRANCE,0.0
127530,FRANCE,0.0
127531,FRANCE,0.0
127536,FRANCE,0.0
127538,FRANCE,0.0
127546,FRANCE,0.0
127547,FRANCE,0.0
127549,FRANCE,0.0
127550,FRANCE,0.0
127564,FRANCE,0.0
127565,FRANCE,0.0
127577,FRANCE,0.0
127583,FRANCE,0.0
127698,JAPAN,0.0
127809,UNITED STATES,0.0
127838,UNITED STATES,0.0
127843,UNITED STATES,0.0
127859,UNITED STATES,0.0
127861,UNITED STATES,0.0
127865,UNITED STATES,0.0
127873,UNITED STATES,0.0
127879,UNITED STATES,0.0
127887,UNITED STATES,0.0
127895,UNITED STATES,0.0
127896,UNITED STATES,0.0
127898,UNITED STATES,0.0
129005,UNITED STATES,0.0
129012,UNITED STATES,0.0
129022,UNITED STATES,0.0
129075,UNITED STATES,0.0
129092,UNITED STATES,0.0
129093,UNITED STATES,0.0
131840,UNITED STATES,0.0
132111,UNITED STATES,0.0
132117,UNITED STATES,0.0
132118,UNITED STATES,0.0
132143,UNITED STATES,0.0
132145,UNITED STATES,0.0
132146,UNITED STATES,0.0
132167,UNITED STATES,0.0
132169,UNITED STATES,0.0
132178,UNITED STATES,0.0
132194,UNITED STATES,0.0
132196,UNITED STATES,0.0
132199,UNITED STATES,0.0
133304,UNITED STATES,0.0
133307,UNITED STATES,0.0
133336,UNITED STATES,0.0
133338,UNITED STATES,0.0
133351,UNITED STATES,0.0
133352,UNITED STATES,0.0
133376,UNITED STATES,0.0
133399,UNITED STATES,0.0
134000,UNITED KINGDOM,0.0
140303,INDIA,0.0
140306,INDIA,0.0
140307,INDIA,0.0
140311,INDIA,0.0
140317,INDIA,0.0
140332,INDIA,0.0
140335,INDIA,0.0
140357,INDIA,0.0
140363,INDIA,0.0
140372,INDIA,0.0
140389,INDIA,0.0
140392,INDIA,0.0
140399,INDIA,0.0
151010,BRAZIL,0.0
152600,UNITED STATES,0.5
152616,UNITED STATES,0.0
152624,UNITED STATES,0.0
152625,UNITED STATES,0.0
152642,UNITED STATES,0.0
152645,UNITED STATES,0.0
152659,UNITED STATES,0.0
152665,UNITED STATES,0.0
152669,UNITED STATES,0.0
152671,UNITED STATES,0.0
152676,UNITED STATES,0.0
155608,UNITED STATES,0.0
155624,UNITED STATES,0.0
155631,UNITED STATES,0.0
155632,UNITED STATES,0.0
155636,UNITED STATES,0.0
155658,UNITED STATES,0.0
155674,UNITED STATES,0.0
155680,UNITED STATES,0.0
155683,UNITED STATES,0.0
155688,UNITED STATES,0.0
155692,UNITED STATES,0.0
155693,UNITED STATES,0.0
161113,UNITED STATES,0.0
161117,UNITED STATES,0.0
161134,UNITED STATES,0.0
161136,UNITED STATES,0.0
161139,UNITED STATES,0.0
161156,UNITED STATES,0.0
161158,UNITED STATES,0.0
161160,UNITED STATES,0.0
161170,UNITED STATES,0.0
161176,UNITED STATES,0.0
161181,UNITED STATES,0.0
161188,UNITED STATES,0.0
161189,UNITED STATES,0.0
161708,UNITED KINGDOM,0.0
161710,UNITED KINGDOM,0.0
161712,UNITED KINGDOM,0.0
161728,UNITED KINGDOM,0.0
161733,UNITED KINGDOM,0.0
161757,UNITED KINGDOM,0.0
